Series,Movie,Critic Review,Compound,Negative,Neutral,Positive
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It is the cinematic magic and the sense of joyous fun that makes ""Star Wars"" a very special film.",0.7778,0.129,0.5,0.371
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A boy's adventure yarn in the most traditional, unabashedly entertaining sense.",0.6666,0.0,0.594,0.406
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Oh, the astronomical audiences; oh, the mundane story; oh, the over-cute little robots (one fat, one thin); oh, the vapid actors, the galactic shootouts; oh, the brilliant technology and oh, the boredom of it all.",0.3612,0.059,0.844,0.097
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is, indeed, a movie that dares to be different, not only in setting, but in theme at a time when imagination has surrendered to realism in motion pictures. If you don't enjoy Star Wars, you are not as young at heart as you think you are.",-0.892,0.198,0.802,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It's a ""fun movie"", as they say. Meaning that it doesn't mean anything, it's a superior, pop plaything to play with, to be innocently enjoyed and thrown away like a four-dollar comic book.",0.9468,0.0,0.58,0.42
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"I haven't had as much fun at a movie in years. With its technical wizardry, high-velocity storytelling and spirited good humor, Star Wars dazzles the child in us.",0.7184,0.102,0.597,0.301
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"For two hours and one minute it takes you on a ""heavenly"" romp. Don't miss it.",0.1139,0.0,0.907,0.093
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"A hell of a drug, the kind of movie that seems almost purposely designed to convince all but the most jaded members of its audience of the expressive power of the medium.",-0.7302,0.189,0.768,0.043
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It's a near timeless milestone in cinema that lives up to its legacy as a simple, exciting, and fun science fiction fantasy.",0.7579,0.0,0.735,0.265
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Star Wars is nothing short of pure unadulterated entertainment, something that has been sorely lacking in a great majority of recent films.",0.5106,0.126,0.632,0.242
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"Tender loving care abounds in the production... The casting is great, with the inexperienced giving it a naivety that is essential to the story, and the veterans a rock-solid identification with evil (Cushing) and good (Guinness).",0.9022,0.09,0.573,0.337
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,An epic intergalactic masterpiece.,0.6249,0.0,0.423,0.577
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"...a stirring introduction to such legendary figures as Luke Skywalker, Han Solo, and Princess Leia.",0.0,0.0,1.0,0.0
Star Wars,STAR WARS: EPISODE IV - A NEW HOPE,"It must be nice to be able to spend $8-million to fulfil your childhood fantasies. George Lucas has that much money because of the tremendous success of his last movie, American Graffiti, and he spent it both wisely and well on Star Wars.",0.7783,0.068,0.717,0.215
